spliced	intron	gene_name
ENSMUSG00000117547.2	ENSMUSG00000117547.2-I	Gm50072
ENSMUSG00000097746.3	ENSMUSG00000097746.3-I	Gm6225
ENSMUSG00000024231.16	ENSMUSG00000024231.16-I	Cul2
ENSMUSG00000117370.2	ENSMUSG00000117370.2-I	Gm6235
ENSMUSG00000096528.2	ENSMUSG00000096528.2-I	G430049J08Rik
ENSMUSG00000117469.2	ENSMUSG00000117469.2-I	Gm50089
ENSMUSG00000024232.3	ENSMUSG00000024232.3-I	Bambi
ENSMUSG00000117454.2	ENSMUSG00000117454.2-I	Gm50090
ENSMUSG00000117506.2	ENSMUSG00000117506.2-I	Gm50091
ENSMUSG00000117395.2	ENSMUSG00000117395.2-I	Gm7378
ENSMUSG00000024233.11	ENSMUSG00000024233.11-I	Lyzl1
ENSMUSG00000117401.2	ENSMUSG00000117401.2-I	4833419F23Rik
ENSMUSG00000117594.2	ENSMUSG00000117594.2-I	Gm50096
ENSMUSG00000024234.8	ENSMUSG00000024234.8-I	Mtpap
ENSMUSG00000117579.2	ENSMUSG00000117579.2-I	Gm50023
ENSMUSG00000117640.2	ENSMUSG00000117640.2-I	Gm7411
ENSMUSG00000117521.2	ENSMUSG00000117521.2-I	Gm50024
ENSMUSG00000033960.7	ENSMUSG00000033960.7-I	Jcad
ENSMUSG00000117585.2	ENSMUSG00000117585.2-I	Gm5047
ENSMUSG00000097043.2	ENSMUSG00000097043.2-I	Gm10556
ENSMUSG00000024236.19	ENSMUSG00000024236.19-I	Svil
ENSMUSG00001118670.1	ENSMUSG00001118670.1-I	AC111128.1
ENSMUSG00000024238.16	ENSMUSG00000024238.16-I	Zeb1
ENSMUSG00000117508.2	ENSMUSG00000117508.2-I	Gm34804
ENSMUSG00000091165.2	ENSMUSG00000091165.2-I	Gm17036
ENSMUSG00000117519.2	ENSMUSG00000117519.2-I	Gm41664
ENSMUSG00000073640.4	ENSMUSG00000073640.4-I	Rpl27-ps3
ENSMUSG00000117387.2	ENSMUSG00000117387.2-I	Gm49986
ENSMUSG00000101320.2	ENSMUSG00000101320.2-I	Gm28529
ENSMUSG00000117425.2	ENSMUSG00000117425.2-I	Gm7464
ENSMUSG00000039540.10	ENSMUSG00000039540.10-I	4921524L21Rik
ENSMUSG00000073639.7	ENSMUSG00000073639.7-I	Rab18
ENSMUSG00000117461.2	ENSMUSG00000117461.2-I	Gm50081
ENSMUSG00000117356.2	ENSMUSG00000117356.2-I	Gm46633
ENSMUSG00000117556.2	ENSMUSG00000117556.2-I	Gm18948
ENSMUSG00000094334.3	ENSMUSG00000094334.3-I	Fabp5l2
ENSMUSG00000064822.2	ENSMUSG00000064822.2-I	Gm24292
ENSMUSG00000024283.16	ENSMUSG00000024283.16-I	Wac
ENSMUSG00000091019.2	ENSMUSG00000091019.2-I	Gm7502
ENSMUSG00000117428.2	ENSMUSG00000117428.2-I	Gm4833
ENSMUSG00000118962.1	ENSMUSG00000118962.1-I	AC148013.1
ENSMUSG00000117490.2	ENSMUSG00000117490.2-I	Gm35031
ENSMUSG00000117484.2	ENSMUSG00000117484.2-I	Gm5500
ENSMUSG00000117424.2	ENSMUSG00000117424.2-I	Gm35232
ENSMUSG00000092097.3	ENSMUSG00000092097.3-I	Gm5819
ENSMUSG00000103172.2	ENSMUSG00000103172.2-I	Gm37148
ENSMUSG00000117549.2	ENSMUSG00000117549.2-I	Gm7523
ENSMUSG00000036904.7	ENSMUSG00000036904.7-I	Fzd8
ENSMUSG00000117644.2	ENSMUSG00000117644.2-I	Gm50053
ENSMUSG00000117503.2	ENSMUSG00000117503.2-I	Gm7527
ENSMUSG00000117435.2	ENSMUSG00000117435.2-I	Gm7532
ENSMUSG00000117349.2	ENSMUSG00000117349.2-I	Gm7274
ENSMUSG00000117641.2	ENSMUSG00000117641.2-I	Gm46641
ENSMUSG00000117402.2	ENSMUSG00000117402.2-I	Gm4834
ENSMUSG00000036103.10	ENSMUSG00000036103.10-I	Colec12
ENSMUSG00000117390.2	ENSMUSG00000117390.2-I	Gm50080
ENSMUSG00000117597.2	ENSMUSG00000117597.2-I	Gm50078
ENSMUSG00000098235.3	ENSMUSG00000098235.3-I	Gm7497
ENSMUSG00000117619.2	ENSMUSG00000117619.2-I	Gm50079
ENSMUSG00000117453.2	ENSMUSG00000117453.2-I	Gm2424
ENSMUSG00000092039.3	ENSMUSG00000092039.3-I	Gm5501
ENSMUSG00000024287.9	ENSMUSG00000024287.9-I	Thoc1
ENSMUSG00000117492.2	ENSMUSG00000117492.2-I	Gm19052
ENSMUSG00000117552.2	ENSMUSG00000117552.2-I	Gm5686
ENSMUSG00000042942.19	ENSMUSG00000042942.19-I	Greb1l
ENSMUSG00000002477.6	ENSMUSG00000002477.6-I	Snrpd1
ENSMUSG00000097387.2	ENSMUSG00000097387.2-I	4930563E18Rik
