ENSMUST00000234132.2	ENSMUSG00000117547.2
ENSMUST00000181558.3	ENSMUSG00000097746.3
ENSMUST00000234647.2	ENSMUSG00000097746.3
ENSMUST00000025073.12	ENSMUSG00000024231.16
ENSMUST00000080089.11	ENSMUSG00000024231.16
ENSMUST00000234843.2	ENSMUSG00000024231.16
ENSMUST00000162301.8	ENSMUSG00000024231.16
ENSMUST00000161317.2	ENSMUSG00000024231.16
ENSMUST00000234414.2	ENSMUSG00000024231.16
ENSMUST00000159443.2	ENSMUSG00000024231.16
ENSMUST00000235096.2	ENSMUSG00000117370.2
ENSMUST00000179907.2	ENSMUSG00000096528.2
ENSMUST00000234804.2	ENSMUSG00000117469.2
ENSMUST00000025075.3	ENSMUSG00000024232.3
ENSMUST00000234359.2	ENSMUSG00000117454.2
ENSMUST00000234745.2	ENSMUSG00000117506.2
ENSMUST00000234528.2	ENSMUSG00000117395.2
ENSMUST00000025076.10	ENSMUSG00000024233.11
ENSMUST00000120837.2	ENSMUSG00000024233.11
ENSMUST00000235048.2	ENSMUSG00000117401.2
ENSMUST00000234586.2	ENSMUSG00000117594.2
ENSMUST00000234768.2	ENSMUSG00000117401.2
ENSMUST00000234186.2	ENSMUSG00000024234.8
ENSMUST00000025077.7	ENSMUSG00000024234.8
ENSMUST00000234422.2	ENSMUSG00000024234.8
ENSMUST00000235025.2	ENSMUSG00000024234.8
ENSMUST00000234614.2	ENSMUSG00000024234.8
ENSMUST00000234924.2	ENSMUSG00000024234.8
ENSMUST00000234374.2	ENSMUSG00000117579.2
ENSMUST00000234230.2	ENSMUSG00000117640.2
ENSMUST00000234706.2	ENSMUSG00000117521.2
ENSMUST00000234494.2	ENSMUSG00000033960.7
ENSMUST00000037029.7	ENSMUSG00000033960.7
ENSMUST00000234153.2	ENSMUSG00000033960.7
ENSMUST00000234879.2	ENSMUSG00000117585.2
ENSMUST00000180904.2	ENSMUSG00000097043.2
ENSMUST00000126977.8	ENSMUSG00000024236.19
ENSMUST00000131210.8	ENSMUSG00000024236.19
ENSMUST00000138258.8	ENSMUSG00000024236.19
ENSMUST00000143254.8	ENSMUSG00000024236.19
ENSMUST00000153016.8	ENSMUSG00000024236.19
ENSMUST00000140448.8	ENSMUSG00000024236.19
ENSMUST00000148564.2	ENSMUSG00000024236.19
ENSMUST00000210707.2	ENSMUSG00000024236.19
ENSMUST00000127297.8	ENSMUSG00000024236.19
ENSMUST00000131609.8	ENSMUSG00000024236.19
ENSMUST00000025079.16	ENSMUSG00000024236.19
ENSMUST00000125512.8	ENSMUSG00000024236.19
ENSMUST00000139761.2	ENSMUSG00000024236.19
ENSMUST00000146723.2	ENSMUSG00000024236.19
ENSMUST00000129543.2	ENSMUSG00000024236.19
ENSMUST00000239722.1	ENSMUSG00001118670.1
ENSMUST00000224200.3	ENSMUSG00000024238.16
ENSMUST00000025081.13	ENSMUSG00000024238.16
ENSMUST00000160522.2	ENSMUSG00000024238.16
ENSMUST00000159390.8	ENSMUSG00000024238.16
ENSMUST00000175925.8	ENSMUSG00000024238.16
ENSMUST00000161295.8	ENSMUSG00000024238.16
ENSMUST00000175739.2	ENSMUSG00000024238.16
ENSMUST00000160910.2	ENSMUSG00000024238.16
ENSMUST00000177070.8	ENSMUSG00000024238.16
ENSMUST00000162892.8	ENSMUSG00000024238.16
ENSMUST00000159477.2	ENSMUSG00000024238.16
ENSMUST00000177030.2	ENSMUSG00000024238.16
ENSMUST00000234953.2	ENSMUSG00000117508.2
ENSMUST00000168187.2	ENSMUSG00000091165.2
ENSMUST00000234972.2	ENSMUSG00000117519.2
ENSMUST00000097682.4	ENSMUSG00000073640.4
ENSMUST00000234758.2	ENSMUSG00000117387.2
ENSMUST00000186159.2	ENSMUSG00000101320.2
ENSMUST00000189675.2	ENSMUSG00000101320.2
ENSMUST00000234402.2	ENSMUSG00000117425.2
ENSMUST00000234821.2	ENSMUSG00000039540.10
ENSMUST00000044829.5	ENSMUSG00000039540.10
ENSMUST00000234337.2	ENSMUSG00000039540.10
ENSMUST00000234356.2	ENSMUSG00000073639.7
ENSMUST00000234810.2	ENSMUSG00000073639.7
ENSMUST00000234720.2	ENSMUSG00000073639.7
ENSMUST00000234626.2	ENSMUSG00000073639.7
ENSMUST00000097680.7	ENSMUSG00000073639.7
ENSMUST00000234996.2	ENSMUSG00000117461.2
ENSMUST00000234748.2	ENSMUSG00000117461.2
